category,intent,toxicity,tweet_id
2,,,1176380752017203200
2,,,1181441598837665792
2,,,1179644303351717888
2,,,1181685207704965121
2,,,1179003143675355136
2,,,1181524649634611200
2,,,1177498133133058048
2,,,1179108730606161920
0,,0.0,1178973134248173572
2,,,1181622849959858176
2,,,1181556106646167552
2,,,1176526717562892292
2,,,1180124266760724483
2,,,1179101233543602176
2,,,1181456702018850816
2,,,1181645444797128704
2,,,1177495161800024064
2,,,1176426050445893634
2,,,1176572013495881728
2,,,1178596906571894784
2,,,1176388316750589953
2,,,1178972834229604352
2,,,1175681137013714944
2,,,1176395853604564992
2,,,1176611774747107329
2,,,1176581578362953728
1,,0.0,1178928819916431360
2,,,1175409627552526336
2,,,1181562394843193344
2,,,1181670109255000065
2,,,1176152239045398530
2,,,1179112504166948865
2,,,1181690743997521920
2,,,1176360870856802304
2,,,1174735418077696001
2,,,1174683725227089920
2,,,1176115526231347200
2,,,1179764784134316032
2,,,1181569945907470338
2,,,1178962765521805313
2,,,1178957736635195393
2,,,1177255809253818370
2,,,1176405919133032448
0,,0,1181320400766144512
