category,intent,toxicity,tweet_id
1,,0.0,1174356835287089152
2,,0.0,1182256973946982400
0,,,1172446403970269189
0,,,1174560427277246464
1,,0.0,1176825064051879936
2,,1.0,1177250136013062144
2,,0.0,1181204805496258561
12,,0.0,1181441626587181057
25,,0.0,1182341656718270466
0,,,1174010585719148544
0,,,1174958768074809345
0,,,1175107214014636032
2,,2.0,1180419822032769025
0,,,1177228309756874753
2,,0.0,1175374638311989255
2,,0.0,1179712688529825792
2,,0.0,1181148470394015744
2,,1.0,1179111046654693376
0,,,1181161258676035586
0,,,1175053142649712644
3,,0.0,1182000811066511360
0,,,1178183437456424961
0,,,1175303611057881090
15,,0,1177140216353697792
2,,0,1178012281155850240
2,,0,1175657560457785344
1,,0,1176621356902965249
5,,0,1173678836413865984
1,,0,1177144433273376768
2,,3,1173945334533410816
2,,0,1181664978404814848
0,,,1177256125911240706
0,,,1176441679534075904
1,,0,1180094271438905344
12,,0,1172446408034541568
0,,,1172440297722109952
2,,0,1180927431798136835
2,,0,1173562021775851520
0,,,1179754411612082177
2,,0,1177188136163692546
1,,0,1178002334284222464
2,,1,1178726170675863552
0,,,1177122511428968448
1,,0,1173554268558823426
1,,0,1176830456957980673
2,,0,1174937300444180480
2,,0,1176830963743150080
2,,0,1180182313608581121
0,,,1174975136149016576
2,,0,1172475105026498561
12,,2,1177240326370672641
2,,0,1178218477775151104
2,,0,1177652371528306690
0,,,1174775723816574977
2,,0,1174780689960620034
2,,0,1181514471073824768
2,,0,1176496457584652288
3,,0,1176809115097735169
2,,1,1181659885886418944
0,,,1176768168548818944
0,,,1177229967693877250
0,,,1174240051456290816
3,,0,1177252236591804418
0,,,1173299596598173702
0,,,1180470374850392064
2,,0,1180489649552265217
2,,0,1176743650904162305
0,,,1176930565557280768
2,,0,1180894879196569601
3,,0,1179652455153459200
2,,0,1177636502827913223
0,,,1176867076847407105
3,,0,1174606609475166208
0,,,1179716476422496256
2,,0,1178671964560482305
0,,,1179677408435326977
2,,0,1180391888278429696
0,,,1181156778500861952
