date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Wed Oct 09 22:06:33 +0000 2019,,1182054772150542338,1182047129004625920,,"@Abonplex Hello ! La saison 2 d'American Gods est bien disponible sur Prime Video France, rencontrez-vous des difficultés pour y accéder ?",Prime Video France,819883783025491970
Fri Oct 04 08:19:19 +0000 2019,,1180034651152424961,1179882170237751304,,@Foiegraspapi_ @NetflixFR Hello ! On a eu des contraintes indépendantes de notre volonté qui nous ont poussé à décaler la sortie mais c'est toujours bien prévu et on vous tient au courant hyper vite :),Prime Video France,819883783025491970
