data,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Fri Sep 20 14:28:06 +0000 2019,0,1175054028834840580,,0,"@darkh3ll Bonjour, la collection est disponible sur notre eshop : [LIEN] Belle journée à vous !",L'Oréal Paris France,290014291
Fri Sep 20 07:13:28 +0000 2019,0,1174944649300983809,,0,@Timodelle @KarlLagerfeld @Monoprix Ravis de vous avoir eu parmi nous ! 💕,L'Oréal Paris France,290014291
Fri Sep 20 07:12:46 +0000 2019,1,1174944472070684673,,0,"@Criscristou1 Bonjour, il suffit de cliquer sur le lien 😊",L'Oréal Paris France,290014291
Mon Sep 16 08:44:47 +0000 2019,0,1173518079189536768,,0,"@Sora_KingH Bonjour @Sora_KingH, nous sommes navrés que vous n'ayez pas obtenu le résultat escompté.  Nous vous invitons à nous écrire en DM afin que notre service consommateur puisse vous prendre en charge. Belle journée à vous !",L'Oréal Paris France,290014291
