data,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Wed Sep 18 19:30:01 +0000 2019,1,1174405233205813249,,0,@vrai1977 Magnifique ! Votre essai est transformé ! Vous voilà en lice pour gagner le ballon officiel de la #RWC2019 !   👏 [LIEN],TF1,103821088
Wed Sep 18 19:19:03 +0000 2019,0,1174402474725261313,,0,"@XopeuuzWars Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 19:17:56 +0000 2019,0,1174402192742244353,,0,"@XopeuuzWars Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 19:13:12 +0000 2019,1,1174401002562379776,,0,@lanina_du71 Bel essai ! Vous avez parfaitement cadré ! Il faut désormais attendre le tirage au sort pour découvrir si vous remportez le ballon officiel de la #RWC2019 !  👏 [LIEN],TF1,103821088
Wed Sep 18 19:11:02 +0000 2019,0,1174400453205024771,,0,@sabtwite C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 19:08:16 +0000 2019,0,1174399760339558400,,0,"@Rouxnathan43 Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 19:07:46 +0000 2019,0,1174399632635564033,,0,@Rouxnathan43 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 18:53:51 +0000 2019,0,1174396130899243008,,0,@yanndudoubs Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 18:52:00 +0000 2019,0,1174395665935491079,,0,"@ASM_RUGBY_FAN Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 18:51:34 +0000 2019,1,1174395554564100098,,0,"@adeline3164 Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 18:48:24 +0000 2019,0,1174394757365293056,,0,@funebre6 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
