,id,text,date,user,user_id,favorite_cnt,retweet_cnt
20,1173877545235881984,"Bonjour @UGCcinemas ! Depuis un prélèvement mensuel pour ma carte illimitée qui n’est pas passé, je suis en liste noire, et j’ai l’impression que la tentative de prélèvement ne se fait plus... pourriez-vous m’aider svp ? Merci 😇",Tue Sep 17 08:33:11 +0000 2019,Sarah Ishkanian,213809071,0,0
21,1173883483569172480,"Coucou @UGCcinemas , dîtes on se demande si on pourra voir le dernier Rambo dans la métropole lilloise chez vous. Vous avez des infos? Toujours aucune séance n'est prévue. Ce serait bizarre non?",Tue Sep 17 08:56:46 +0000 2019,David Pauwels,455138015,0,0
22,1173939876225572864,La nouvelle saison 2019/2020 de @operadeparis au cinéma débute dans une semaine et @PrettyYende a un message pour vous...direction musicale @MMariotti1979mise en scène #simonstoneavec @ben_bernheim @UGCcinemas @CGR_Events @FondationOrange [LIEN],Tue Sep 17 12:40:51 +0000 2019,FRA,712994408564658176,41,15
23,1174028098670649345,"Coucou @UGCcinemas salle 3 de l'Ugc de la défense, la clim s'il te plaît, on cuit 😭",Tue Sep 17 18:31:25 +0000 2019,Minimash,41318926,0,0
24,1174055640181944320,#CeuxQuiTravaillent avant-première @UGCcinemas Les Halles [LIEN],Tue Sep 17 20:20:52 +0000 2019,Condor,793020520597950464,1,0
25,1174079019865858054,"""Je ne sais pas si le maire est là"". @LuchiniOfficiel  déchaîné à l'avant-première d'#AliceEtLeMaire à @UGCcinemas Confluence. @gerardcollomb [LIEN]",Tue Sep 17 21:53:46 +0000 2019,Lyon Mag,59392471,5,0
26,1174221546161938432,⭐️ Les rendez-vous #Cine2909 ⭐️🎬Une Avant-Première à ne pas manquer Jeudi 19 Septembre à #Lille ! Découvrez Mon chien stupide à 20h en présence du réalisateur #YvanAttal et tout ça c'est à l'@UGCcinemas !!🎬#RDVCine2909 #MonChienStupide #CharlotteGainsbourg [LIEN],Wed Sep 18 07:20:07 +0000 2019,Ciné2909,2533454642,0,0
27,1174237893138767873,⭐️ Les rendez-vous #Cine2909 ⭐️🎬Avant-Première exceptionnelle de #AliceEtLeMaire à #Paris Jeudi 19 Septembre ! Ce sera à l'@UGCcinemas des Halles et en présence de l'équipe du film !Tous les détails ici : [LIEN]🎬#RDVCine2909 @BAC_FILMS [LIEN],Wed Sep 18 08:25:04 +0000 2019,Ciné2909,2533454642,1,0
28,1174304532551077888,Le cinéaste et son acteur principal seront demain sur #lyon @UGCcinemas  pour présenter le film,Wed Sep 18 12:49:52 +0000 2019,Baz'art,188055709,0,0
29,1174582701892018176,⭐️ Les rendez-vous #Cine2909 ⭐️🎬Grand évènement Vendredi 20 Septembre à 20h30 à l'@UGCcinemas de #Lille ! Avant-Première d'Au nom de la Terre avec les présences exceptionnelles de @guillaumecanet &amp; le réalisateur Edouard Bergeon !🎬#RDVCine2909 @diaphana #AuNomDeLaTerre [LIEN],Thu Sep 19 07:15:13 +0000 2019,Ciné2909,2533454642,1,1
30,1174619171604324353,⭐️ Les rendez-vous #Cine2909 ⭐️🎬#AuNomDeLaTerre est en Avant-Première exceptionnelle Vendredi 20 Septembre à 20h15 à l'@UGCcinemas Villeneuve d'Ascq ! Il y aura également une belle rencontre avec @guillaumecanet &amp; le réalisateur Edouard Bergeon !🎬#RDVCine2909 @diaphana [LIEN],Thu Sep 19 09:40:08 +0000 2019,Ciné2909,2533454642,0,0
31,1174640952264286208,"Salut @UGCcinemas, je voudrais vous signaler un petit souci en salle 5 des Gobelins. La toile de l'écran a tendance à vibrer lorsque le son est fort (expérience vécue pour Le Roi Lion et Ad Astra). Merci",Thu Sep 19 11:06:41 +0000 2019,Ronan Wild,52043667,0,0
32,1174666456568610818,"Ce soir c'est #cinema vous avez le choix entre Alien à @UGCcinemas #SaintHerblain et Rambo à l' @AbsurdeSeance au @katorza #Nantes 
[LIEN]
[LIEN]",Thu Sep 19 12:48:02 +0000 2019,GrabugeMagNantes,724645652907601921,1,1
33,1174678161226981376,"#LesIndesgalantes au cinéma en direct
S-3 le 10 oct 19h15 depuis @operadeparis
Les danseurs répètent sous l’œil du metteur en scène #ClémentCogitore &amp; la chorégraphe #BintouDembélé
cinémas partenaires &gt; [LIEN]
@UGCcinemas @FondationOrange
photos E.Bauer/OnP [LIEN]",Thu Sep 19 13:34:32 +0000 2019,FRA,712994408564658176,1,0
34,1174708433498574851,"Bonjour @UGCcinemas : c'est gentil de m'inviter pour une #AVP dimanche soir à Maillot mais comme qui dirait : il y a un bug au niveau horaire 19h45 pour une séance à 19h c'est pas top.
Perso j'ai corrigé sur mon agenda mais les autres invités ?",Thu Sep 19 15:34:50 +0000 2019,Louis CHATEL,15968128,0,0
35,1174732325566984192,sinon parlons peu mais parlons bien : RENDEZ-NOUS LES ANCIENS TICKETS DE CINÉMA @mk2 @UGCcinemas on veut pas d'un ticket de caisse en souvenir!,Thu Sep 19 17:09:46 +0000 2019,lelapinlelapin🐰🐰,143458436,0,0
36,1174783340576215041,"Bon @UGCcinemas qui arrive encore à avoir des problèmes techniques. Cette fois: ligne de sous-titre du bas de coupé en début de film a cause du mauvais cadrage -_-
Ça serait bien de trouver un moyen pour éviter ce genre d'incidents ou mettre en place un programme de dédommagement",Thu Sep 19 20:32:29 +0000 2019,@Keul,84267711,0,0
37,1174787654979870720,"J'ai passé un cap. Je fais des blagues de darons pas drôles. 
Quand les sous titres d'alien ont planté à @UGCcinemas et qu'ils l'ont relancé du début. 
J'ai sorti toute fière de moi : ah, ils ont fait un replay/ripley. Mon mec n'a pas du tout ri.
#alien #ridleyscott #joke [LIEN]",Thu Sep 19 20:49:38 +0000 2019,WelcomeToPrimeTimeBitch,207201544,0,0
38,1174798222906314758,".@UGCcinemas, aller voir un film de 2 heures 45, se taper 30 minutes de pub après l'heure annoncée du début de séance, être dans un placard à balais, payer 9 euros (dont 2 euros de frais de réservation). Pourquoi on ne va plus au ciné ?",Thu Sep 19 21:31:37 +0000 2019,Antoine Orsoni,572861264,1,0
39,1174828225043816452,"Amélie (2001)
-
Check out our reviews on Instagram
-
#CinemaCircle #films #movies #filmreviews #instagramblog #filmfanatic #Amélie #JeanPierreJeunet #AudreyTautou #MathieuKassovitz #Rufus #SergeMerlin #IsabelleNanty #YolandeMaurier #JamelDebbouze @CanalplusCinema @UGCcinemas [LIEN]",Thu Sep 19 23:30:50 +0000 2019,Cinema Circle Reviews,1143573450390417410,1,0
40,1174953510028267526,"Hello @UGCcinemas depuis un certain temps quand je réserve des places via l’application (iOS) le nom de mes cartes illimitées n’est plus affiché, c’est dommage :-/. Une idée? Merci d’avance.",Fri Sep 20 07:48:41 +0000 2019,Papy Carrot,61623484,0,0
41,1175020651511517184,C'était certain : @GeminiManMovie ne sera pas diffusé en HFR dans le réseau @UGCcinemas. Quid de @PatheGaumont ? (Merci à @CineFredo !) [LIEN],Fri Sep 20 12:15:28 +0000 2019,Thomas Martin,193924518,3,0
42,1175033948981866498,"Bon bah pour @GeminiManMovie en HFR :
@PatheGaumont 1
@UGCcinemas 0

😏 [LIEN]",Fri Sep 20 13:08:19 +0000 2019,Thomas Martin,193924518,6,1
43,1175123339322503169,Cela fait presque un mois que j’ai passé à l’abonnement UGC Illimité 2 chez @UGCcinemas et je n’ai pas encore reçu ma nouvelle carte. On est presque à la fin de septembre et je n’ai pas pu profiter de mon abonnement.,Fri Sep 20 19:03:31 +0000 2019,Felipe Corrêa,44787085,1,0
44,1175182046605586432,"On termine la 1ere partie de la tournée de #Monchienstupide au @PatheGaumont Thillois dans une salle pleine!

Prochain rdv le 30 sept à @UGCcinemas Confluences de #Lyon en présence d #YvanAttal et @iheartcharlotte ! [LIEN]",Fri Sep 20 22:56:48 +0000 2019,Jean-Baptiste DAVI,817684825763102720,13,0
45,1175325059545800704,⭐️ Les rendez-vous #Cine2909 ⭐️🎬Vous voulez passer un Dimanche 22 Septembre #HorsNormes ? Rendez-vous à @UGCcinemas #Mondeville pour l'Avant-Première exceptionnelle à 15h30 du film mais aussi rencontrer le duo de réalisateurs @ToledanoNakache !!🎬#RDVCine2909 [LIEN],Sat Sep 21 08:25:05 +0000 2019,Ciné2909,2533454642,2,0
46,1175715147500924929,"⭐️ Les rendez-vous #Cine2909 ⭐️🎬C'est à #Paris ce Lundi 23 Septembre, l'Avant-Première d'#AuNomDeLaTerre ! Rendez-vous à l'@UGCcinemas des Halles à 20H15 avec l'équipe du film !!Plus de détails ici : [LIEN]🎬#RDVCine2909 @diaphana @guillaumecanet [LIEN]",Sun Sep 22 10:15:09 +0000 2019,Ciné2909,2533454642,0,0
47,1175722975531819009,"A bug's life // 1001 Pattes [LIEN] (@ UGC Ciné Cité Vélizy - @ugccinemas in Velizy Villacoublay, Île-de-France) [LIEN] [LIEN]",Sun Sep 22 10:46:15 +0000 2019,Clément HUYGHE,60117154,0,0
48,1175749430273859585,Bonjour @UGCcinemas nous avons raté le début de notre séance car on était coincé dans un bus pour la journée sans voitures à Paris. Nous arrivons à Ciné cité Bercy et le monsieur a annulé les billets réservés sur ma carte illimitée mais impossible d’annuler le billet réservé 1/2,Sun Sep 22 12:31:23 +0000 2019,Gemma Fairless #FBPE,4853195308,0,0
49,1175769423594033153,"Et voilà comment @UGCcinemas rompt l'unité de mes tas de tickets ciné ! 

Du 20 sept. 2016 au 20 sept. 2019, 3 ans jour pour jour. Ça fait 132 films, soit 1 film tous les 8 jours ! 

Le 1er : War Dogs
Le dernier : Portrait de la jeune fille en feu

#stats #dimanchepluvieux [LIEN]",Sun Sep 22 13:50:49 +0000 2019,Alix Chagué,1377181230,5,0
50,1175771386700283907,"Bonjour @UGCcinemas , lorsque l’on souscrit à un abo UGC Illimité, celui-ci est effectif immédiatement ou à la réception de la carte ? Merci 😊",Sun Sep 22 13:58:38 +0000 2019,Assiya,753866078942535683,0,0
51,1175774279272714240,"J’en reviens déjà de la séance à l @ugcdistribution @UGCcinemas de l’Astoria LYON : impossible de rentrer, on était des dizaines de mécontents dehors 😕 [LIEN]",Sun Sep 22 14:10:07 +0000 2019,HalteLa_ن,2194682364,0,0
52,1175845879254790144,"Ce soir, je découvre #unefillefacile à @UGCcinemas",Sun Sep 22 18:54:38 +0000 2019,Yuming Hey,2220044239,2,0
53,1175979816224481281,"Hier j'ai vu #DowntonAbbeyFilm à l'@UGCcinemas de #velizy2. C'était vraiment bien, 2h de bonheur ! [LIEN]",Mon Sep 23 03:46:51 +0000 2019,Enach,560270344,3,1
54,1176038796963602434,"Dites @UGCcinemas La #Traviata au Palais Garnier de demain, prévue en diffusion chez vous, étant annulée, pourrait-on avoir des infos sur le remboursement des places réservées pour une séance #VivaOpera? Merci 🤗",Mon Sep 23 07:41:13 +0000 2019,Daria,15438855,1,0
55,1176039782377566209,"⭐️ Les rendez-vous #Cine2909 ⭐️
🎬
Bel évènement à #Rosny Mardi 24 Septembre avec l'Avant-Première exceptionnelle de J'irai où tu iras ! C'est à l'@UGCcinemas à 20H et en présence de l'équipe du film !!

Plus de détails : [LIEN]
🎬
#RDVCine2909 #JiraiOuTuIras [LIEN]",Mon Sep 23 07:45:08 +0000 2019,Ciné2909,2533454642,0,0
56,1176069854245376001,"Allez au cinéma voir Toy Story avec ses filles de 6 et 4 ans...voir une bande annonce sur un opéra avec un homme qui se fait égorger...faire face aux questions de ses filles...merci UGC
#UGCcinemas @UGCcinemas",Mon Sep 23 09:44:38 +0000 2019,MSzu,1173596159115485184,0,0
57,1176083406196740096,"#DowntonAbbey vu hier soir en #AVP au clu @UGCcinemas #PorteMaillot : de quoi regretter de ne pas avoir suivi la série, un vrai régal visuel et pour le cerveau, l'enchainement des actions mais aussi des répliques ne peuvent laisser le spectateur de marbre 😅😀😎 [LIEN]",Mon Sep 23 10:38:29 +0000 2019,Louis CHATEL,15968128,1,1
58,1176104939527053312,Paris accueille le Joker ce soir. @UGCcinemas @wbpictures @warnerbrosfr #Joker #JokerMovie UGC Normandie #avp #avantpremière [LIEN],Mon Sep 23 12:04:03 +0000 2019,PlaceDuCinema,4856503281,5,1
59,1176116932338245634,"Le cinéma du passé, c'est @UGCcinemas !

#technologie #GeminiMan [LIEN]",Mon Sep 23 12:51:42 +0000 2019,Anthony Bateman 😏,63472831,0,0
60,1176164294205083659,"Cette semaine, 2 occasions ""culte"" de (re)voir #DonnieDarko sur grand écran dans sa version #DirectorsCut avant sa sortie en #CoffretUltraCollector le 13/11 !
&gt; Mardi à 20h15 au @400coups_angers #PlansCultes
&gt; Jeudi à 20h dans vos @UGCcinemas #UGCCulte
[LIEN] [LIEN]",Mon Sep 23 15:59:54 +0000 2019,Carlotta Films,204778245,13,0
61,1176186556622790656,Bon ben voilà. Je viens de réserver mon billet pour #LaTraviata demain soir @UGCcinemas Mais je ne me remets toujours pas de l’annulation de cette représentations 24 sept @operadeparis 😢😭!! [LIEN],Mon Sep 23 17:28:22 +0000 2019,Lia Camel,2789053893,1,0
62,1176230819725230082,"Moi hier : ""Tiens, ça fait quelques années que je n'ai pas fait de séance Label des spectateurs UGC...""

Aujourd'hui dans mes spams : ""Invitation soirée Label Spectateurs UGC""

... Sauf que j'ai déjà une avant-première jeudi !! 😭😭

La torture @UGCcinemas, la torture !!",Mon Sep 23 20:24:15 +0000 2019,Célia Roy 🦓,351879203,4,0
63,1176244092604485633,Hello @UGCcinemas le film #Jokerlefilm sera t’il proposé en VO dans l’utilise de Lille? Merci,Mon Sep 23 21:16:59 +0000 2019,Kerildan,141290076,0,0
64,1176248753201864707,"En avant première #Jokerlefilm à @UGCcinemas Normandie, de Todd Phillips. La genèse d'un Joker tiraillé entre la folie et le désespoir. 
Quelle noirceur mais aussi quelle splendeur ! Et la musique est magnifique.
Prochain vainqueur aux #Oscars2020: #JoaquinPhoenix 
@warnerbrosfr [LIEN]",Mon Sep 23 21:35:31 +0000 2019,Stephane Thibault,1075421744633122817,50,14
65,1176384324536606721,"Ce soir, @UGCcinemas propose de diffuser La Traviata depuis l'@operadeparis, non en direct mais enregistrée (suite à la grève).
Nous rendions justement compte de la soirée du 18 : 
La Traviata au Palais Garnier : le sensible labyrinthe de la solitude - [LIEN] [LIEN]",Tue Sep 24 06:34:13 +0000 2019,Opera-Online,253550184,2,0
66,1176573695957045255,"Aller au cinéma pour être dérangé par des gens qui parlent, sont sur leur portable, bouffent, quittent la salle intempestivement.... Non merci. C’est terminé pour moi @UGCcinemas ! Ça sera @AppleTVPlus , @NetflixFR , Amazon Prime &amp; @canalplus séries dorénavant. [LIEN]",Tue Sep 24 19:06:43 +0000 2019,boylloon,1030892679943606272,23,2
67,1176603764574359559,"Merci à @LeilaBekhti et à @GeraldineNakach de nous avoir présenté, ce soir à @UGCcinemas Rosny-Sous-Bois, leur film délicieux #JiraiouTuiras. 
Bravo les filles vous m’avez fait pleurer.",Tue Sep 24 21:06:12 +0000 2019,Samir HAMRNI,899552293133201408,1,0
68,1176616869534601216,"En ce soir de #Traviata annulée pour cause de grève @operadeparis 😭vous vous retrouvez @UGCcinemas sur les ChampsElysées. Et soudain à la fin, vous vous retournez et 😇🙃vous tombez sur l’adorable et limmense @PrettyYende qui reste papoter avec vous . Quel bonheur 😍@jpthiellay [LIEN]",Tue Sep 24 21:58:16 +0000 2019,Lia Camel,2789053893,14,1
69,1176738832848494592,C'est parti pour les saisons de @operadeparis @MetOpera @RoyalOperaHouse au cinéma! @PatheLive_FR @UGCcinemas @cgr_cinemas @PatheGaumont @Gaumont salles indépendantes...   [LIEN],Wed Sep 25 06:02:55 +0000 2019,Martine Robert,239765458,10,3
70,1176746938135457793,#Traviata @UGCcinemas J’ai bcp aimé la mes 2.0 de Simon Stone et  l’ étincelante et surtout l’ émouvante @PrettyYende dt la prise de rôle fera date ainsi que l’attachant Alfredo/#BenjaminBernheim à la voix puissante et douce à la fois. Mais #LudovicTézier m’a manqué ! [LIEN],Wed Sep 25 06:35:07 +0000 2019,Lia Camel,2789053893,0,0
